cid,text,time,author,channel,votes,photo,heart
Ugx_Eny0q5MIbeNY75R4AaABAg,This guy definitely has working knowledge about what he's talking about...I finally have a little passive income coming in and it took work to get to happen...and it will take work to grow it even more...,6 months ago,White Label Digital Media,UCK4PzpXExEAV2_nJEcdJhqw,1,https://yt3.ggpht.com/ytc/AKedOLS5RCxHegyLOlBe1v7SdctW14FtgQzAvkCRUdoxHzreZc987lJrJcICzUnMRGmv=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpeIyUqZmkviTe4rR4AaABAg,I love how you give the most useful ideas at the beginning instead of at the end!,6 months ago,Yashaswini,UCVf6A2mTfiT92gHPkaCyBMQ,2,https://yt3.ggpht.com/ytc/AKedOLS_YKoC1Ksf9cNu0who7tiOeXFcmkuRQ03EXCvuuw0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6kKiSTLau_Yh7oZl4AaABAg,A really good channel. I am learning a lot from this channel and I started a business too. Thanks to you man. I was not so confident before but I am sure that I am getting it slowly.,1 year ago,Ayush Jain,UCtFwUPdL4acBHqc11mG0a1A,1,https://yt3.ggpht.com/ytc/AKedOLRDIivt86k7e7fFyAAqJsN0NJIHB2LyvJH6GJ3z=s176-c-k-c0x00ffffff-no-rj,0.0
UgyISCOziUmAlO0gcal4AaABAg,"New subscriber here-- loved the ideas and your to-the-point style, thanks Noah!",6 months ago,Miguel Curiel,UCeniEDb5trgDsQgliSxuhrw,2,https://yt3.ggpht.com/ytc/AKedOLSoWubgHGxTIK949FJYtFRp-sWZJfG7CORMD26n=s176-c-k-c0x00ffffff-no-rj,1.0
UgztSE3e3xTcxazcbdx4AaABAg,This is great content. No BS just pure information that empowers folks like me. Thanks!,1 year ago,Jason Dela Luna,UCXqjOkMn8IwAEZsYE265D5w,1,https://yt3.ggpht.com/ytc/AKedOLRPZLBkCoDAXXTHq9pJ5g8DGZhUKVIpr2bCoTzdeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNfoZkKi___fZYv9V4AaABAg,This channel is great. Ready to binge watch and get those creative juices flowing.,7 months ago,Tessa Cancilla,UCCowZjQREbX1kTpEXFTGsww,0,https://yt3.ggpht.com/ytc/AKedOLR_AD7j53BAPW7rb1UtlhjU1UBdjCI_y3aQaaYQ8w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl-8jVUVpVk8sxUW94AaABAg,"Love the transparancy. Keep up the great work, Noah!",1 year ago,Michael Joseph | College & Careers,UCjatoCz5Gsso9NbIV7UdAug,3,https://yt3.ggpht.com/8gmq3fGXV0Xw53ZufhiULoAnDlqEYgxedfF61tmtK_pKZ1nmqdp2BEBCV2SGbYB5WiaVZxUxx5U=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzton_6m62khvAnVrt4AaABAg,"Shaq made a ton of smart investments, I’m sure he’s very wealthy",10 months ago,chase perkins,UC1tcvfG45SGAZ8ieM2GVSBg,8,https://yt3.ggpht.com/ytc/AKedOLRby8VKpTNOTmuSOp6O4_m4goHILPd_ZTr_0Ci7=s176-c-k-c0x00ffffff-no-rj,0.0
UgxnkUbZxlwmB3ReveV4AaABAg,"Noah..I am watching all you videos. Love your energy, realism and great advice. Great job!",10 months ago,jokosalsa,UC2InL8a6dAVobmSG8U50Prw,5,https://yt3.ggpht.com/ytc/AKedOLSIVtVYCOYh_-oXue_Rt-0-JwZVhhZhWvelSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwaRbQQL9XmWOnErh4AaABAg,Can’t wait for the day I can buy you lunch. Appreciate all the insight and honesty Uncle Noah!,6 months ago,Sebastian Teh,UCrTHUbMS7YJOOmXYjt3niRQ,1,https://yt3.ggpht.com/ytc/AKedOLQZIfECs-j-CEvbq4WcPOlOm2-hYaTuoK_eHDPf=s176-c-k-c0x00ffffff-no-rj,0.0
