cid,text,time,author,channel,votes,photo,heart
Ugxkjq1Mi2ida9q_s-V4AaABAg,I studied generators few years ago but this explanation is so fun man,1 day ago,VkD,UCe246VfdqaTAv0KfzvBrnzA,0,https://yt3.ggpht.com/ytc/AKedOLS7kFIGWkuI4UjqxrUi8W2Xo-oE6S-a4PLPNVIEtfE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy67xI3klEG6VKWRht4AaABAg,Anjana has aged gracefully since her functional programming talk!,18 hours ago,Danish Khan,UCZbPQxvDh3qcx4CnGlLI19A,0,https://yt3.ggpht.com/23CHpQICRdpqn2PSOo2j_TvNAyhscnQD6JRMS1646fNemZuuxvD3bCov4U-BWkhjT9T09aDc4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAv5NrK3mFkIQwE8l4AaABAg,We want more conf with her !,5 days ago,J,UCZnqn_esAUEHTlAFbNh5bpA,7,https://yt3.ggpht.com/ytc/AKedOLSI3b-FkCEx6Sq6rZbq0_jmKIrnjW5kPaV0V5Af8n9kyqXZ_Dg5BbCAjfhAbEwr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBJzbfVqgLIPhn1wt4AaABAg,Thank you for speaking in this video.   I have never heard of generators but now I am curious.  Thank you.,4 days ago,C M,UCaoUb1wneO0wilTo5B54ssA,0,https://yt3.ggpht.com/ytc/AKedOLTVu5luvWM_xREwOn3I89JOl1S1pyPWF6gyKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-BS0JSu-1s-u_ZWZ4AaABAg,"not sure if python stole from js or the other way around, but they seem to look and function identically. very fun to use, but easy to create unreasonable code imo.",1 day ago,Renê Couto e Silva,UCxpmbb8jA74lWF2amizDp4w,0,https://yt3.ggpht.com/ytc/AKedOLSFYAG-CU3oiv4R0WApuAcRonQyUVgcP5xVTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0PKqyRCOWocXbyCt4AaABAg,I can only imagine confusion of my colleagues at work when they see generator function in my next pull request...,4 days ago,Orlov Egor,UCCIeyHrafl_WwMre627RovQ,32,https://yt3.ggpht.com/ytc/AKedOLQJOfRq-AUD4a2M1cwsZfhFslRS9K89umJMPPYDUQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8J-9qjCyvnXmpcwt4AaABAg,Anjana is very energetic which makes the presentation interesting!,4 days ago,Asmit Basu.,UCimutcufi2rBPxZDr4iUQrw,4,https://yt3.ggpht.com/ytc/AKedOLRo-j2dtaBErne5r5h1UzZkmAYPcUiSinPG9o-pJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJq5JIdGyl8t_FZyl4AaABAg,she is back,6 days ago,i learned today,UCbTEE0lz6nYl0GJiZw0m8EA,104,https://yt3.ggpht.com/ytc/AKedOLRIJwbPEzXMVF64VHe1XW4jKICNAsJ_U0VBcFy7IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgArV7sBCK_FRREIh4AaABAg,I knew I recognised her from the Functional Programming talk I saw years ago! It's one of the first talks I ever saw and it drove me to learn more JS! Go Anjana!,6 days ago,Eddy Vinck,UCXhcecEyI1QrDvpTZiwZyFQ,162,https://yt3.ggpht.com/ytc/AKedOLQ2sc11Uybz4Mts4oLznpbh1qfdJGidLRVXhaB5Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTzoUZZ7syfwzSmoJ4AaABAg,Brilliant talk. Please keep the code being talked about on the screen!,3 days ago,Rolland Bryan,UCroG7GWkEDYlP4aJjaX-88w,12,https://yt3.ggpht.com/ytc/AKedOLQmuKYoMxRAeUNLVPRpVE84LEzcjNph81YkdQ=s176-c-k-c0x00ffffff-no-rj,0.0
